1,Agriculture,Agriculture
2,Automotive  ,Automotive  
3,Aviation ,Aviation 
4,Banking / Finance ,Banking / Finance 
5,Construction / Development,Construction / Development
6,Contact Centre ,Contact Centre 
7,Education / Training ,Education / Training 
8,Engineering ,Engineering 
9,Food & Beverage ,Food & Beverage 
10,Government Sector ,Government Sector 
11,Hospitality,Hospitality
12,Information Technology & Computing ,Information Technology & Computing 
13,Insurance ,Insurance 
14,Investment ,Investment 
15,Legal ,Legal 
16,Maintenance & Servicing Industry ,Maintenance & Servicing Industry 
17,Manufacturing ,Manufacturing 
18,Media & Publishing ,Media & Publishing 
19,Medical/Healtcare ,Medical/Healtcare 
20,Oil & Gas ,Oil & Gas 
21,Retail ,Retail 
22,Security & Safety ,Security & Safety 
23,Self Employed ,Self Employed 
24,Shipping ,Shipping 
25,Sports ,Sports 
26,Telecommunication ,Telecommunication 
27,Tourism ,Tourism 
28,Transportation & Logistics ,Transportation & Logistics 
